odbor:(fakulta:VS)         (Intercept)
architektura:FAD:STU          -0.100480112
architektura:FU:TUKE          -0.347444539
bezpecnost:DREVF:TUZV          0.724007993
bezpecnost:FBI:ZU             -0.150041855
bezpecnost:MTF:STU             0.375572088
bezpecnost:PEDUKF:UKF          0.340613198
biologia:FBP:SPU               0.170153615
biologia:FHPV:PU              -0.030107864
biologia:FPVUCM:UCM            0.124222064
biologia:FPVUKF:UKF           -0.089651386
biologia:PRIRUK:UK             0.009976073
biologia:PRIRUPJS:UPJS        -0.162479572
biotechnologie:FBP:SPU         0.034574617
biotechnologie:FCHPT:STU       0.559667703
biotechnologie:FPVUCM:UCM      0.170275142
biotechnologie:PRIRUK:UK      -0.155871897
doprava:FBERG:TUKE            -0.046401354
doprava:FEI:STU                0.066975067
doprava:FPEDS:ZU               0.105958900
doprava:LETF:TUKE              0.235698988
drevarstvo:DREVF:TUZV         -0.055832197
ekologia:FEE:TUZV              0.077415959
ekologia:FESRR:SPU            -0.071524915
ekologia:FHPV:PU               0.246921376
ekologia:FMMR:TUKE             0.436683425
ekologia:FMPU:PU               0.264607813
ekologia:FPVUKF:UKF            0.204413821
ekologia:FPVUMB:UMB            0.177421218
ekologia:PRIRUK:UK            -0.156542880
ekologia:PRIRUPJS:UPJS        -0.104162681
ekologia:RZU:ZU                0.084510445
ekologia:STFTUKE:TUKE          0.260670806
ekonomia:DREVF:TUZV           -0.192367209
ekonomia:EF:TUKE              -0.129873850
ekonomia:EFUMB:UMB             0.558568035
ekonomia:FEKIN:UJS             0.385139138
ekonomia:FEM:SPU              -0.003055742
ekonomia:FESRR:SPU             0.026715275
ekonomia:FHI:EU                0.148510630
ekonomia:FMPU:PU              -0.057893805
ekonomia:FMUK:UK              -0.166527254
ekonomia:FMV:EU               -0.472849874
ekonomia:FPEDS:ZU             -0.035347044
ekonomia:FPM:EU               -0.055904958
ekonomia:FRI:ZU                0.362439526
ekonomia:FSEV:UK              -0.003435688
ekonomia:FSEVZ:TUAD            0.235661617
ekonomia:FSS:UKF               0.358202517
ekonomia:NHF:EU               -0.030853194
ekonomia:OF:EU                -0.125935524
ekonomia:PEDKU:KU              0.155616724
ekonomia:PHF:EU                0.574361730
ekonomia:RSTU:STU             -0.037714762
ekonomia:RTUZV:TUZV           -0.067167547
ekonomia:RUCM:UCM              0.298360115
elektrotechnika:FEI:STU       -0.211418403
elektrotechnika:FEIT:ZU        0.105114098
elektrotechnika:FEITUKE:TUKE  -0.307497410
elektrotechnika:STRJTUKE:TUKE  0.195998832
farmacia:FAF:UK               -0.405680029
farmacia:RUVLF:UVLF            0.022208863
filologia:FAJ:EU              -0.395411247
filologia:FEKIN:UJS            0.066580242
filologia:FIFKU:KU             0.206432056
filologia:FIFPU:PU            -0.461899092
filologia:FIFTTU:TTU           0.277398911
filologia:FIFUCM:UCM          -0.080061526
filologia:FIFUK:UK            -0.267655221
filologia:FIFUKF:UKF          -0.703886215
filologia:FIFUMB:UMB          -0.092928011
filologia:FIFUPJS:UPJS         0.316257528
filologia:FSS:UKF              0.133027342
filologia:PEDTTU:TTU           0.224670843
filologia:PEDUK:UK             0.263640345
filologia:PEDUKF:UKF           0.157603319
filozofia:FIFKU:KU             0.160047091
filozofia:FIFPU:PU             0.997372041
filozofia:FIFTTU:TTU          -0.013637604
filozofia:FIFUCM:UCM          -0.113202943
filozofia:FIFUK:UK            -0.232586556
filozofia:FIFUKF:UKF           0.220811465
filozofia:FIFUMB:UMB          -0.149626911
filozofia:FIFUPJS:UPJS        -0.189919999
filozofia:TFTTU:TTU            0.121093371
fyzika:FMFI:UK                 0.454880928
fyzika:FPVUKF:UKF              0.117182442
fyzika:PRIRUPJS:UPJS           0.366244359
geodezia:FBERG:TUKE            0.286029258
geodezia:STFSTU:STU            0.294980172
geodezia:STFZU:ZU             -0.032842867
historia:FIFKU:KU             -0.030489263
historia:FIFPU:PU             -0.103939387
historia:FIFTTU:TTU           -0.065071601
historia:FIFUCM:UCM            0.126588453
historia:FIFUK:UK              0.192509448
historia:FIFUKF:UKF            0.304420841
historia:FIFUMB:UMB           -0.216691377
historia:FIFUPJS:UPJS          0.454959172
historia:GKTF:PU               0.339927210
chemia:FCHPT:STU               0.110765894
chemia:FPVUCM:UCM              0.149443031
chemia:FPVUMB:UMB              0.088441496
chemia:PRIRUK:UK               0.496243076
chemia:PRIRUPJS:UPJS           0.029053158
chemtechnologie:FCHPT:STU      0.389056930
informatika:FEI:STU           -0.489886233
informatika:FEIT:ZU           -0.261651554
informatika:FEITUKE:TUKE      -1.039027592
informatika:FEKIN:UJS         -0.588229140
informatika:FHI:EU            -1.128966523
informatika:FIIT:STU          -0.743433076
