odbor:(fakulta:VS)            (Intercept)
architektura:FAD:STU          -6.898244e-02
architektura:FU:TUKE          -7.011418e-01
bezpecnost:DREVF:TUZV          1.013564e+00
bezpecnost:FBI:ZU             -3.291346e-01
bezpecnost:MTF:STU             2.543524e-01
bezpecnost:PEDUKF:UKF          4.342401e-01
biologia:FBP:SPU              -4.065249e-01
biologia:FHPV:PU              -5.263289e-01
biologia:FPVUCM:UCM            1.409900e-01
biologia:FPVUKF:UKF           -2.943093e-01
biologia:PRIRUK:UK             3.737180e-01
biologia:PRIRUPJS:UPJS        -6.301600e-01
biotechnologie:FBP:SPU         2.516865e-01
biotechnologie:FCHPT:STU       9.051959e-01
biotechnologie:FPVUCM:UCM     -1.387995e-01
biotechnologie:PRIRUK:UK      -2.077577e-03
doprava:FBERG:TUKE            -2.481735e-01
doprava:FEI:STU                2.103154e-02
doprava:FPEDS:ZU               7.024352e-01
doprava:LETF:TUKE              4.006853e-01
drevarstvo:DREVF:TUZV         -3.774164e-01
ekologia:FEE:TUZV              2.414731e-01
ekologia:FESRR:SPU            -2.579522e-01
ekologia:FHPV:PU               5.000434e-01
ekologia:FMMR:TUKE             3.301197e-01
ekologia:FMPU:PU               5.345930e-01
ekologia:FPVUKF:UKF            5.807595e-01
ekologia:FPVUMB:UMB            3.536515e-01
ekologia:PRIRUK:UK            -2.545244e-01
ekologia:PRIRUPJS:UPJS         7.006611e-02
ekologia:RZU:ZU                3.878847e-01
ekologia:STFTUKE:TUKE          2.339905e-01
ekonomia:DREVF:TUZV           -3.186016e-02
ekonomia:EF:TUKE              -4.885216e-01
ekonomia:EFUMB:UMB             6.497494e-01
ekonomia:FEKIN:UJS             1.079564e-01
ekonomia:FEM:SPU              -5.351297e-01
ekonomia:FESRR:SPU             2.343891e-02
ekonomia:FHI:EU                8.195250e-01
ekonomia:FMPU:PU              -3.371458e-01
ekonomia:FMUK:UK              -1.038711e+00
ekonomia:FMV:EU               -7.704221e-01
ekonomia:FPEDS:ZU             -6.478991e-01
ekonomia:FPM:EU               -3.752216e-01
ekonomia:FRI:ZU                7.261778e-01
ekonomia:FSEV:UK              -1.646719e-01
ekonomia:FSEVZ:TUAD            3.148907e-01
ekonomia:FSS:UKF               2.503850e-01
ekonomia:NHF:EU                6.398481e-02
ekonomia:OF:EU                -2.746072e-01
ekonomia:PEDKU:KU             -1.349958e-01
ekonomia:PHF:EU                2.365828e-01
ekonomia:RSTU:STU              1.151866e-03
ekonomia:RTUZV:TUZV           -8.670217e-02
ekonomia:RUCM:UCM              1.039465e+00
elektrotechnika:FEI:STU       -4.194951e-01
elektrotechnika:FEIT:ZU       -4.620786e-01
elektrotechnika:FEITUKE:TUKE  -8.694637e-01
elektrotechnika:STRJTUKE:TUKE -6.317163e-02
farmacia:FAF:UK               -2.318564e-01
farmacia:RUVLF:UVLF           -4.203736e-01
filologia:FAJ:EU              -4.657255e-01
filologia:FEKIN:UJS            4.516133e-02
filologia:FIFKU:KU             2.213079e-01
filologia:FIFPU:PU            -6.623652e-03
filologia:FIFTTU:TTU           4.028533e-01
filologia:FIFUCM:UCM          -8.727861e-01
filologia:FIFUK:UK             9.341860e-01
filologia:FIFUKF:UKF          -6.842535e-01
filologia:FIFUMB:UMB           3.446063e-01
filologia:FIFUPJS:UPJS         1.025828e-01
filologia:FSS:UKF              3.008462e-01
filologia:PEDTTU:TTU           5.410346e-01
filologia:PEDUK:UK            -8.044818e-02
filologia:PEDUKF:UKF           4.585891e-01
filozofia:FIFKU:KU             2.342221e-01
filozofia:FIFPU:PU             1.062899e+00
filozofia:FIFTTU:TTU           5.351019e-01
filozofia:FIFUCM:UCM           2.503809e-02
filozofia:FIFUK:UK            -7.190444e-01
filozofia:FIFUKF:UKF           4.005937e-01
filozofia:FIFUMB:UMB          -4.106675e-01
filozofia:FIFUPJS:UPJS        -4.853143e-01
filozofia:TFTTU:TTU            1.823237e-01
fyzika:FMFI:UK                 6.611957e-01
fyzika:FPVUKF:UKF              4.970936e-02
fyzika:PRIRUPJS:UPJS           5.774462e-01
geodezia:FBERG:TUKE            5.077608e-01
geodezia:STFSTU:STU            4.623666e-01
geodezia:STFZU:ZU              3.116631e-01
historia:FIFKU:KU             -3.771856e-01
historia:FIFPU:PU             -1.107733e+00
historia:FIFTTU:TTU            2.849885e-01
historia:FIFUCM:UCM            1.359894e-02
historia:FIFUK:UK              5.546596e-01
historia:FIFUKF:UKF            1.063368e+00
historia:FIFUMB:UMB            1.227169e-01
historia:FIFUPJS:UPJS          2.584864e-01
historia:GKTF:PU               5.762788e-01
chemia:FCHPT:STU               3.942687e-01
chemia:FPVUCM:UCM              3.161509e-01
chemia:FPVUMB:UMB             -8.467539e-01
chemia:PRIRUK:UK               1.241097e+00
chemia:PRIRUPJS:UPJS           4.127714e-01
chemtechnologie:FCHPT:STU      5.281530e-01
informatika:FEI:STU           -9.090552e-01
