odbor:(fakulta:VS)        (Intercept)
architektura:FAD:STU                    0
architektura:FU:TUKE                    0
bezpecnost:DREVF:TUZV                   0
bezpecnost:FBI:ZU                       0
bezpecnost:MTF:STU                      0
bezpecnost:PEDUKF:UKF                   0
biologia:FBP:SPU                        0
biologia:FHPV:PU                        0
biologia:FPVUCM:UCM                     0
biologia:FPVUKF:UKF                     0
biologia:PRIRUK:UK                      0
biologia:PRIRUPJS:UPJS                  0
biotechnologie:FBP:SPU                  0
biotechnologie:FCHPT:STU                0
biotechnologie:FPVUCM:UCM               0
biotechnologie:PRIRUK:UK                0
doprava:FBERG:TUKE                      0
doprava:FEI:STU                         0
doprava:FPEDS:ZU                        0
doprava:LETF:TUKE                       0
drevarstvo:DREVF:TUZV                   0
ekologia:FEE:TUZV                       0
ekologia:FESRR:SPU                      0
ekologia:FHPV:PU                        0
ekologia:FMMR:TUKE                      0
ekologia:FMPU:PU                        0
ekologia:FPVUKF:UKF                     0
ekologia:FPVUMB:UMB                     0
ekologia:PRIRUK:UK                      0
ekologia:PRIRUPJS:UPJS                  0
ekologia:RZU:ZU                         0
ekologia:STFTUKE:TUKE                   0
ekonomia:DREVF:TUZV                     0
ekonomia:EF:TUKE                        0
ekonomia:EFUMB:UMB                      0
ekonomia:FEKIN:UJS                      0
ekonomia:FEM:SPU                        0
ekonomia:FESRR:SPU                      0
ekonomia:FHI:EU                         0
ekonomia:FMPU:PU                        0
ekonomia:FMUK:UK                        0
ekonomia:FMV:EU                         0
ekonomia:FPEDS:ZU                       0
ekonomia:FPM:EU                         0
ekonomia:FRI:ZU                         0
ekonomia:FSEV:UK                        0
ekonomia:FSEVZ:TUAD                     0
ekonomia:FSS:UKF                        0
ekonomia:NHF:EU                         0
ekonomia:OF:EU                          0
ekonomia:PEDKU:KU                       0
ekonomia:PHF:EU                         0
ekonomia:RSTU:STU                       0
ekonomia:RTUZV:TUZV                     0
ekonomia:RUCM:UCM                       0
elektrotechnika:FEI:STU                 0
elektrotechnika:FEIT:ZU                 0
elektrotechnika:FEITUKE:TUKE            0
elektrotechnika:STRJTUKE:TUKE           0
farmacia:FAF:UK                         0
farmacia:RUVLF:UVLF                     0
filologia:FAJ:EU                        0
